"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00233708","1893-08-11","39.966667","-93.583333",,"HAZELHURST, MO US","  254",",,6",,,,,,
"USC00233708","1893-08-13","39.966667","-93.583333",,"HAZELHURST, MO US","    3",",,6",,,,,,
"USC00233708","1893-08-15","39.966667","-93.583333",,"HAZELHURST, MO US","  104",",,6",,,,,,
"USC00233708","1893-08-16","39.966667","-93.583333",,"HAZELHURST, MO US","  513",",,6",,,,,,
"USC00233708","1893-08-22","39.966667","-93.583333",,"HAZELHURST, MO US","   10",",,6",,,,,,
"USC00233708","1893-08-27","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-08-31","39.966667","-93.583333",,"HAZELHURST, MO US","  155",",,6",,,,,,
"USC00233708","1893-09-01","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-02","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-03","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-04","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-05","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-06","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-07","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-08","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-09","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-10","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-11","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-12","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-13","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-14","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-15","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-09-16","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-17","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-18","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-09-19","39.966667","-93.583333",,"HAZELHURST, MO US","    0","T,,6",,,,,,
"USC00233708","1893-09-20","39.966667","-93.583333",,"HAZELHURST, MO US","  170",",,6",,,,,,
"USC00233708","1893-09-21","39.966667","-93.583333",,"HAZELHURST, MO US","   99",",,6",,,,,,
"USC00233708","1893-09-22","39.966667","-93.583333",,"HAZELHURST, MO US","  429",",,6",,,,,,
"USC00233708","1893-09-23","39.966667","-93.583333",,"HAZELHURST, MO US","  150",",,6",,,,,,
"USC00233708","1893-09-24","39.966667","-93.583333",,"HAZELHURST, MO US","   10",",,6",,,,,,
"USC00233708","1893-09-25","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-26","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-27","39.966667","-93.583333",,"HAZELHURST, MO US","   38",",,6",,,,,,
"USC00233708","1893-09-28","39.966667","-93.583333",,"HAZELHURST, MO US","    0","P,,6",,,,,,
"USC00233708","1893-09-29","39.966667","-93.583333",,"HAZELHURST, MO US","  582",",,6",,,,,,
"USC00233708","1893-09-30","39.966667","-93.583333",,"HAZELHURST, MO US","   13",",,6",,,,,,
