"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00387113","1928-03-29","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  261",",,6","   44",",,6",,,,,,,,,,,,,,,,,,,"  256",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-30","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","   84",",,6,","    0",",,6,","    0",",,6,","  261",",,6","  178",",I,6",,,,,,,,,,,,,,,,,,,"  161",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-03-31","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  167",",,6","   11",",,6",,,,,,,,,,,,,,,,,,,"  100",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-01","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,",,,"   94",",,6",,,,,,,,,,,,,,,,,,,"  194",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-02","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  250",",,6","   94",",,6",,,,,,,,,,,,,,,,,,,"  250",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-03","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  256",",,6","  106",",,6",,,,,,,,,,,,,,,,,,,"  178",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-04","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  250",",,6","   72",",,6",,,,,,,,,,,,,,,,,,,"  239",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-05","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,",,,"   94",",,6",,,,,,,,,,,,,,,,,,,"  222",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-06","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  244",",,6","  100",",,6",,,,,,,,,,,,,,,,,,,"  239",",,6,",,,,,,,,,,,,,,,,,,,,,,
"USC00387113","1928-04-07","35.11667","-81.96667","228.9","CHESNEE 7 WSW, SC US","    0",",,6,","    0",",,6,","    0",",,6,","  239",",,6","  100",",,6",,,,,,,,,,,,,,,,,,,"  161",",,6,",,,,,,,,,,,,,,,,,,,,,,
