"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00196783","1960-04-09","42.524","-71.1249","33.5","READING, MA US","   28",",,0,2200","    0",",,0,","    0",",,0,","  100",",,0","   11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-10","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","  106",",,0","  -33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-11","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0",",,0,","    0",",,0,","  111",",,0","  -56",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-12","42.524","-71.1249","33.5","READING, MA US","   53",",,0,2200","    0",",,0,","    0",",,0,","  183",",,0","   33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-13","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","  167",",,0","   17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-14","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","  228",",,0","   39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-15","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","  250",",,0","   67",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-16","42.524","-71.1249","33.5","READING, MA US","    8",",,0,2200","    0",",,0,","    0",",,0,","  139",",,0","   67",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-17","42.524","-71.1249","33.5","READING, MA US","    0","T,,0,2200","    0",",,0,","    0",",,0,","  194",",,0","   50",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,
"USC00196783","1960-04-18","42.524","-71.1249","33.5","READING, MA US","   23",",,0,2200","    0",",,0,","    0",",,0,","  211",",,0","   22",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-19","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","  139",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-20","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","  150",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-21","42.524","-71.1249","33.5","READING, MA US","    0",",,0,2200","    0",",,0,","    0",",,0,","  222",",,0","   33",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-22","42.524","-71.1249","33.5","READING, MA US","   15",",,0,2200","    0",",,0,","    0",",,0,","  211",",,0","   44",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00196783","1960-04-23","42.524","-71.1249","33.5","READING, MA US","   13",",,0,2200","    0",",,0,","    0",",,0,","   83",",,0","   39",",,0",,,,,,,,,,,,,,,,,,,,,,
